Title,Description,Details,Filename,Preliminary assessment: Potentially relevant?,Reviewer,Final inclusion?,Type of PC,Arm,Number of point estimates per outcome,Dichotomisation threshold(s) (%),Number of patients assumed in computing point estimate,Number of responses for point estimate,Exact point estimate(s) (%),95% confidence interval(s) reported,Reported confidence interval(s) (%),Number of bars clipped,Clip point (%)
"A phase 2 study of KX2-391, an oral inhibitor of Src kinase and tubulin polymerization, in men with bone-metastatic castration-resistant prostate cancer.","Antonarakis ES, Heath EI, Posadas EM, Yu EY, Harrison MR, Bruce JY, Cho SY, Wilding GE, Fetterly GJ, Hangauer DG, Kwan MF, Dyster LM, Carducci MA.",Cancer chemotherapy and pharmacology. 2013 Jan 13; 71(4): 883-892,Antonarakis (2013) Cancer Chemotherapy and Pharmacology,Yes,All,Yes,mCRPC,1,1,-30,31,3,9.677419355,Yes,"(3.5,25)",0,
Androgen receptor gene status in plasma DNA associates with worse outcome on enzalutamide or abiraterone for castration-resistant prostate cancer: a multi-institution correlative biomarker study.,"Conteduca V, Wetterskog D, Sharabiani MT, Grande E, Fernandez-Perez MP, Jayaram A, Salvi S, Castellano D, Romanel A, Lolli C, Casadio V, Gurioli G, Amadori D, Font A, Vazquez-Estevez S, González del Alba A, Mellado B, Fernandez-Calvo O, Méndez-Vidal MJ, Climent MA, Duran I, Gallardo E, Rodriguez A, Santander C, Sáez MI, Puente J, Gasi Tandefelt D, Wingate A, Dearnaley D, PREMIERE Collaborators, Spanish Oncology Genitourinary Group, Demichelis F, De Giorgi U, Gonzalez-Billalabeitia E, Attard G.",Annals of Oncology. 2017 May 3; 28(7): 1508-1516,Conteduca (2017) Annals of Oncology,Yes,All,Yes,CRPC,1,2,-50,73,57,78.08219178,No,,5,100
Androgen receptor gene status in plasma DNA associates with worse outcome on enzalutamide or abiraterone for castration-resistant prostate cancer: a multi-institution correlative biomarker study.,"Conteduca V, Wetterskog D, Sharabiani MT, Grande E, Fernandez-Perez MP, Jayaram A, Salvi S, Castellano D, Romanel A, Lolli C, Casadio V, Gurioli G, Amadori D, Font A, Vazquez-Estevez S, González del Alba A, Mellado B, Fernandez-Calvo O, Méndez-Vidal MJ, Climent MA, Duran I, Gallardo E, Rodriguez A, Santander C, Sáez MI, Puente J, Gasi Tandefelt D, Wingate A, Dearnaley D, PREMIERE Collaborators, Spanish Oncology Genitourinary Group, Demichelis F, De Giorgi U, Gonzalez-Billalabeitia E, Attard G.",Annals of Oncology. 2017 May 3; 28(7): 1508-1516,Conteduca (2017) Annals of Oncology,Yes,All,Yes,CRPC,2,2,-50,98,33,33.67346939,No,,18,100
"Circulating Endothelial Progenitor Cells in Castration Resistant Prostate Cancer: A Randomized, Controlled, Biomarker Study.","Fuereder T, Wacheck V, Strommer S, Horak P, Gerschpacher M, Lamm W, Kivaranovic D, Krainer M.",PLoS ONE. 2014 Apr 22; 9(4): e95310,Fuereder (2014) PLoS ONE,Yes,All,Yes,CRPC,1,2,-50,13,4,30.76923077,No,,1,100
"Circulating Endothelial Progenitor Cells in Castration Resistant Prostate Cancer: A Randomized, Controlled, Biomarker Study.","Fuereder T, Wacheck V, Strommer S, Horak P, Gerschpacher M, Lamm W, Kivaranovic D, Krainer M.",PLoS ONE. 2014 Apr 22; 9(4): e95310,Fuereder (2014) PLoS ONE,Yes,All,Yes,CRPC,2,2,-50,14,9,64.28571429,No,,0,
"Rapid, ultra low coverage copy number profiling of cell-free DNA as a precision oncology screening strategy.","Hovelson DH, Liu CJ, Wang Y, Kang Q, Henderson J, Gursky A, Brockman S, Ramnath N, Krauss JC, Talpaz M, Kandarpa M, Chugh R, Tuck M, Herman K, Grasso CS, Quist MJ, Feng FY, Haakenson C, Langmore J, Kamberov E, Tesmer T, Husain H, Lonigro RJ, Robinson D, Smith DC, Alva AS, Hussain MH, Chinnaiyan AM, Tewari M, Mills RE, Morgan TM, Tomlins SA.",Oncotarget. 2017 Sep 22; 8(52): 89848-89866,Hovelson (2017) Oncotarget,Yes,All,Yes,mCRPC,1,1,-50,88,32,36.36363636,No,,11,50
Phase I trial with a combination of docetaxel and 153Sm-lexidronam in patients with castration-resistant metastatic prostate cancer.,"Lin J, Sinibaldi VJ, Carducci MA, Denmeade S, Song D, DeWeese T, Eisenberger MA.",Urologic oncology. 2009 Dec 4; 29(6): 670-675,Lin (2009) Urologic Oncology,Yes,All,Yes,mCRPC,1,1,-50,13,5,38.46153846,No,,0,
Phase 1 Trial of High-Dose Exogenous Testosterone in Patients with Castration-Resistant Metastatic Prostate Cancer.,"Morris MJ, Huang D, Kelly WK, Slovin SF, Stephenson RD, Eicher C, Delacruz A, Curley T, Schwartz L, Scher HI.",European urology. 2009 Apr 3; 56(2): 237-244,Morris (2009) European Urology,Yes,All,Yes,mCRPC,1,1,-50,12,1,8.333333333,No,,0,
External validation of risk classification in patients with docetaxel-treated castration-resistant prostate cancer.,"Nakano K, Komatsu K, Kubo T, Natsui S, Nukui A, Kurokawa S, Kobayashi M, Morita T.",BMC Urology. 2014 Apr 18; 14: 31,Nakano (2014) BMC Urology,Yes,All,Yes,CRPC,1,3,-50,51,9,17.64705882,No,,1,100
External validation of risk classification in patients with docetaxel-treated castration-resistant prostate cancer.,"Nakano K, Komatsu K, Kubo T, Natsui S, Nukui A, Kurokawa S, Kobayashi M, Morita T.",BMC Urology. 2014 Apr 18; 14: 31,Nakano (2014) BMC Urology,Yes,All,Yes,CRPC,2,3,-50,17,7,41.17647059,No,,1,100
External validation of risk classification in patients with docetaxel-treated castration-resistant prostate cancer.,"Nakano K, Komatsu K, Kubo T, Natsui S, Nukui A, Kurokawa S, Kobayashi M, Morita T.",BMC Urology. 2014 Apr 18; 14: 31,Nakano (2014) BMC Urology,Yes,All,Yes,CRPC,3,3,-50,10,2,20,No,,0,
Phase I Dose-Escalation Study of the Novel Anti-androgen BMS-641988 in Patients with Castration-Resistant Prostate Cancer.,"Rathkopf D, Liu G, Carducci MA, Eisenberger MA, Anand A, Morris MJ, Slovin SF, Sasaki Y, Takahashi S, Ozono S, Fung NK, Cheng S, Gan J, Gottardis M, Obermeier MT, Reddy J, Zhang S, Vakkalagadda BJ, Wilding G, Scher HI.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2010 Dec 3; 17(4): 880-887,Rathkopf (2010) Clinical Cancer Research,Yes,All,Yes,CRPC,1,1,-30,61,10,16.39344262,No,,8,100
Genomic alterations in plasma DNA from patients with metastasized prostate cancer receiving abiraterone or enzalutamide.,"Belic J, Graf R, Bauernhofer T, Cherkas Y, Ulz P, Waldispuehl‐Geigl J, Perakis S, Gormley M, Patel J, Li W, Geigl JB, Smirnov D, Heitzer E, Gross M, Speicher MR.",International Journal of Cancer. 2018 Apr 10; 143(5): 1236-1248,,Yes,All,No,,,,,,,,,,,
VEGF-A polymorphisms predict progression-free survival among advanced castration-resistant prostate cancer patients treated with metronomic cyclophosphamide.,"Orlandi P, Fontana A, Fioravanti A, Di Desidero T, Galli L, Derosa L, Canu B, Marconcini R, Biasco E, Solini A, Francia G, Danesi R, Falcone A, Bocci G.",British Journal of Cancer. 2013 Jul 16; 109(4): 957-964,,Yes,All,No,,,,,,,,,,,
Efficacy and safety of 177Lutetium-prostate-specific membrane antigen therapy in metastatic castration-resistant prostate cancer patients: First experience in West Asia – A prospective study.,"Aghdam RA, Amoui M, Ghodsirad M, Khoshbakht S, Mofid B, Kaghazchi F, Tavakoli M, Pirayesh E, Ahmadzadehfar H.",World Journal of Nuclear Medicine. 2019 Jul-Sep; 18(3): 258-265,Aghdam (2019) World Journal of Nuclear Medicine,Yes,JW,Yes,mCRPC,1,1,0,14,11,78.57142857,No,,1,100
Repurposing Itraconazole as a Treatment for Advanced Prostate Cancer: A Noncomparative Randomized Phase II Trial in Men With Metastatic Castration-Resistant Prostate Cancer.,"Antonarakis ES, Heath EI, Smith DC, Rathkopf D, Blackford AL, Danila DC, King S, Frost A, Ajiboye AS, Zhao M, Mendonca J, Kachhap SK, Rudek MA, Carducci MA.",The Oncologist. 2013 Jan 22; 18(2): 163-173,Antonarakis (2013) The Oncologist,Yes,JW,Yes,mCRPC,1,2,-50,17,0,0,Yes,"(0,19.5)",1,110
Repurposing Itraconazole as a Treatment for Advanced Prostate Cancer: A Noncomparative Randomized Phase II Trial in Men With Metastatic Castration-Resistant Prostate Cancer.,"Antonarakis ES, Heath EI, Smith DC, Rathkopf D, Blackford AL, Danila DC, King S, Frost A, Ajiboye AS, Zhao M, Mendonca J, Kachhap SK, Rudek MA, Carducci MA.",The Oncologist. 2013 Jan 22; 18(2): 163-173,Antonarakis (2013) The Oncologist,Yes,JW,Yes,mCRPC,2,2,-50,28,4,14.28571429,Yes,"(4,32.7)",0,
Phase II trial of the PI3 kinase inhibitor buparlisib (BKM-120) with or without enzalutamide in men with metastatic castration resistant prostate cancer.,"Armstrong AJ, Halabi S, Healy P, Alumkal JJ, Winters C, Kephart J, Bitting RL, Hobbs C, Soleau CF, Beer TM, Slottke R, Mundy K, Yu EY, George DJ.","European journal of cancer (Oxford, England : 1990). 2017 May 11; 81: 228-236",Armstrong (2017) European Journal of Cancer,Yes,JW,Yes,mCRPC,1,1,-30,27,1,3.703703704,No,,1,301.655934
Repetitively Dosed Docetaxel and 153Samarium-EDTMP as an Anti-Tumor Strategy for Metastatic Castration-Resistant Prostate Cancer.,"Autio KA, Pandit-Taskar N, Carrasquillo JA, Stephenson RD, Slovin SF, Rathkopf DE, Hong C, Heller G, Scher HI, Larson SM, Morris MJ.",Cancer. 2013 Jun 13; 119(17): 3186-3194,Autio (2013) Cancer,Yes,JW,Yes,mCRPC,1,1,-50,30,12,40,No,,0,
Association of Biomarkers with Serious Cardiac Adverse Events during Abiraterone Acetate Treatment in Castration Resistant Prostate Cancer.,"Campora S, Campazzi E, Zanardi S, Puntoni M, Piccininno M, Piccardo A, Shoushtari Zadeh Naseri M, Defferrari C, Provinciali N, Petrera M, Marra D, Biscaldi E, Antonucci GC, Ricci D, Clavarezza M, Gennari A, Gozza A, D'Amico M, Mori M, DeCensi A.",Translational Oncology. 2016 Dec 2; 9(6): 600-605,Campora (2016) Translational Oncology,Yes,JW,Yes,mCRPC,1,1,-30,14,6,42.85714286,No,,0,
Phase II Multicenter Study of Abiraterone Acetate Plus Prednisone Therapy in Patients With Docetaxel-Treated Castration-Resistant Prostate Cancer.,"Danila DC, Morris MJ, de Bono JS, Ryan CJ, Denmeade SR, Smith MR, Taplin ME, Bubley GJ, Kheoh T, Haqq C, Molina A, Anand A, Koscuiszka M, Larson SM, Schwartz LH, Fleisher M, Scher HI.",Journal of Clinical Oncology. 2010 Feb 16; 28(9): 1496-1501,Danila (2010) Journal of Clinical Oncology,Yes,JW,Yes,mCRPC,1,1,-50,58,21,36.20689655,Yes,"(24,48)",7,100
Effects of Abiraterone Acetate on Androgen Signaling in Castrate-Resistant Prostate Cancer in Bone.,"Efstathiou E, Titus M, Tsavachidou D, Tzelepi V, Wen S, Hoang A, Molina A, Chieffo N, Smith LA, Karlou M, Troncoso P, Logothetis CJ.",Journal of Clinical Oncology. 2011 Dec 19; 30(6): 637-643,Efstathiou (2011) Journal of Clinical Oncology,Yes,JW,Yes,mCRPC,1,1,-30,56,34,60.71428571,No,,3,110
Assessment of 68Ga-PSMA-11 PET Accuracy in Localizing Recurrent Prostate Cancer: A Prospective Single-Arm Clinical Trial.,"Fendler WP, Calais J, Eiber M, Flavell RR, Mishoe A, Feng FY, Nguyen HG, Reiter RE, Rettig MB, Okamoto S, Emmett L, Zacho HD, Ilhan H, Wetter A, Rischpler C, Schoder H, Burger IA, Gartmann J, Smith R, Small EJ, Slavik R, Carroll PR, Herrmann K, Czernin J, Hope TA.",JAMA Oncology. 2019 Mar 28; 5(6): 856-863,Fendler (2019) JAMA Oncology,Yes,JW,Yes,Recurrent PC,1,1,-50,39,31,79.48717949,No,,0,
"A Phase II Study of 2-Methoxyestradiol (2ME2) NanoCrystal® Dispersion (NCD) in Patients with Taxane-Refractory, Metastatic Castrate-Resistant Prostate Cancer (CRPC).","Harrison MR, Hahn NM, Pili R, Oh WK, Hammers H, Sweeney C, Kim K, Perlman S, Arnott J, Sidor C, Wilding G, Liu G.",Investigational new drugs. 2010 May 25; 29(6): 1465-1474,Harrison (2010) Investigational New Drugs,Yes,JW,Yes,mCRPC,1,1,-50,18,1,5.555555556,No,,6,
A randomized non-comparative phase II trial of cixutumumab (IMC-A12) or ramucirumab (IMC-1121B) plus mitoxantrone and prednisone in men with metastatic docetaxel-pretreated castration-resistant prostate cancer.,"Hussain M, Rathkopf D, Liu G, Armstrong A, Kelly WK, Ferrari A, Hainsworth J, Joshi A, Hozak RR, Yang L, Schwartz JD, Higano CS.","European journal of cancer (Oxford, England : 1990). 2015 Jun 13; 51(13): 1714-1724",Hussain (2015) European Journal of Cancer,Yes,JW,Yes,mCRPC,1,2,-50,56,12,21.42857143,Yes,"(9.3,31.4)",2,200
A randomized non-comparative phase II trial of cixutumumab (IMC-A12) or ramucirumab (IMC-1121B) plus mitoxantrone and prednisone in men with metastatic docetaxel-pretreated castration-resistant prostate cancer.,"Hussain M, Rathkopf D, Liu G, Armstrong A, Kelly WK, Ferrari A, Hainsworth J, Joshi A, Hozak RR, Yang L, Schwartz JD, Higano CS.","European journal of cancer (Oxford, England : 1990). 2015 Jun 13; 51(13): 1714-1724",Hussain (2015) European Journal of Cancer,Yes,JW,Yes,mCRPC,2,2,-50,56,15,26.78571429,Yes,"(11.6,34.4)",1,200
A pilot phase II Study of digoxin in patients with recurrent prostate cancer as evident by a rising PSA.,"Lin J, Zhan T, Duffy D, Hoffman-Censits J, Kilpatrick D, Trabulsi EJ, Lallas CD, Chervoneva I, Limentani K, Kennedy B, Kessler S, Gomella L, Antonarakis ES, Carducci MA, Force T, Kelly WK.",American journal of cancer therapy and pharmacology. 2014 Sep 7; 2(1): 21-32,Lin (2014) American Journal of Cancer Therapy and Pharmacology,Yes,JW,Yes,Recurrent PC,1,1,-25,13,3,23.07692308,No,,0,
Prospective Evaluation of Low-Dose Ketoconazole Plus Hydrocortisone (HC) in Docetaxel Pre-treated Castration-Resistant Prostate Cancer (CRPC) Patients.,"Lo EN, Beckett LA, Pan CX, Robles D, Suga JM, Sands JM, Lara PN Jr.",Prostate cancer and prostatic diseases. 2015 Feb 10; 18(2): 144-148,Lo (2015) Prostate Cancer and Prostatic Diseases,Yes,JW,Yes,CRPC,1,1,-50,29,14,48.27586207,No,,0,
Enzalutamide in Castration-Resistant Prostate Cancer Patients With Visceral Disease in the Liver and/or Lung: Outcomes From the Randomized Controlled Phase 3 AFFIRM Trial.,"Loriot Y, Fizazi K, de Bono JS, Forer D, Hirmand M, Scher HI.",Cancer. 2016 Sep 20; 123(2): 253-262,Loriot (2016) Cancer,Yes,JW,Yes,mCRPC,1,4,-50,74,29,39.18918919,Yes,"(24.4,47.1)",11,100
Enzalutamide in Castration-Resistant Prostate Cancer Patients With Visceral Disease in the Liver and/or Lung: Outcomes From the Randomized Controlled Phase 3 AFFIRM Trial.,"Loriot Y, Fizazi K, de Bono JS, Forer D, Hirmand M, Scher HI.",Cancer. 2016 Sep 20; 123(2): 253-262,Loriot (2016) Cancer,Yes,JW,Yes,mCRPC,2,4,-50,21,1,4.761904762,Yes,"(0.1,23.8)",14,100
Enzalutamide in Castration-Resistant Prostate Cancer Patients With Visceral Disease in the Liver and/or Lung: Outcomes From the Randomized Controlled Phase 3 AFFIRM Trial.,"Loriot Y, Fizazi K, de Bono JS, Forer D, Hirmand M, Scher HI.",Cancer. 2016 Sep 20; 123(2): 253-262,Loriot (2016) Cancer,Yes,JW,Yes,mCRPC,3,4,-50,94,53,56.38297872,Yes,"(41.6,62.5)",8,100
Enzalutamide in Castration-Resistant Prostate Cancer Patients With Visceral Disease in the Liver and/or Lung: Outcomes From the Randomized Controlled Phase 3 AFFIRM Trial.,"Loriot Y, Fizazi K, de Bono JS, Forer D, Hirmand M, Scher HI.",Cancer. 2016 Sep 20; 123(2): 253-262,Loriot (2016) Cancer,Yes,JW,Yes,mCRPC,4,4,-50,41,5,12.19512195,Yes,"(0.6,16.5)",21,100
DNA-Repair Defects and Olaparib in Metastatic Prostate Cancer.,"Mateo J, Carreira S, Sandhu S, Miranda S, Mossop H, Perez-Lopez R, Nava Rodrigues D, Robinson D, Omlin A, Tunariu N, Boysen G, Porta N, Flohr P, Gillman A, Figueiredo I, Paulding C, Seed G, Jain S, Ralph C, Protheroe A, Hussain S, Jones R, Elliott T, McGovern U, Bianchini D, Goodall J, Zafeiriou Z, Williamson CT, Ferraldeschi R, Riisnaes R, Ebbs B, Fowler G, Roda D, Yuan W, Wu YM, Cao X, Brough R, Pemberton H, A’Hern R, Swain A, Kunju LP, Eeles R, Attard G, Lord CJ, Ashworth A, Rubin MA, Knudsen KE, Feng FY, Chinnaiyan AM, Hall E, de Bono JS.",The New England journal of medicine. 2015 Oct 29; 373(18): 1697-1708,Mateo (2015) The New England Journal of Medicine,Yes,JW,Yes,mCRPC,1,1,-50,46,8,17.39130435,No,,1,800
A Phase 2 Trial of Abiraterone Acetate in Japanese Men with Metastatic Castration-resistant Prostate Cancer and without Prior Chemotherapy (JPN-201 Study).,"Matsubara N, Uemura H, Satoh T, Suzuki H, Nishiyama T, Uemura H, Hashine K, Imanaka K, Ozono S, Akaza H.",Japanese Journal of Clinical Oncology. 2014 Oct 15; 44(12): 1216-1226,Matsubara (2014) Japanese Journal of Clinical Oncology,Yes,JW,Yes,mCRPC,1,1,-50,48,29,60.41666667,No,,0,
Phase II study of radium-223 dichloride in Japanese patients with symptomatic castration-resistant prostate cancer.,"Matsubara N, Nagamori S, Wakumoto Y, Uemura H, Kimura G, Yokomizo A, Kikukawa H, Mizokami A, Kosaka T, Masumori N, Kawasaki Y, Yonese J, Nasu Y, Fukasawa S, Sugiyama T, Kinuya S, Hosono M, Yamaguchi I, Tsutsui H, Uemura H.",International Journal of Clinical Oncology. 2017 Aug 2; 23(1): 173-180,Matsubara (2017) International Journal of Clinical Oncology,Yes,JW,Yes,mCRPC,1,1,-30,49,3,6.12244898,No,,0,
Phase 1/2 Multiple Ascending Dose Trial of the Prostate-Specific Membrane Antigen (PSMA)-Targeted Antibody Drug Conjugate MLN2704 in Metastatic Castration-Resistant Prostate Cancer.,"Milowsky MI, Galsky MD, Morris MJ, Crona DJ, George DJ, Dreicer R, Tse K, Petruck J, Webb IJ, Bander NH, Nanus DM, Scher HI.",Urologic oncology. 2016 Oct 17; 34(12): 530.e15-530.e21,Milowsky (2016) Urologic Oncology,Yes,JW,Yes,mCRPC,1,1,-50,62,6,9.677419355,No,,0,
Phase I Study of Samarium-153 Lexidronam With Docetaxel in Castration-Resistant Metastatic Prostate Cancer.,"Morris MJ, Pandit-Taskar N, Carrasquillo J, Divgi CR, Slovin S, Kelly WK, Rathkopf D, Gignac GA, Solit D, Schwartz L, Stephenson RD, Hong C, Delacruz A, Curley T, Heller G, Jia X, O'Donoghue J, Larson S, Scher HI.",Journal of Clinical Oncology. 2009 Apr 13; 27(15): 2436-2442,Morris (2009) Journal of Clinical Oncology,Yes,JW,Yes,mCRPC,1,1,-50,26,15,57.69230769,No,,0,
"Phase 1/2 study of orteronel (TAK-700), an investigational 17,20-lyase inhibitor, with docetaxel–prednisone in metastatic castration-resistant prostate cancer.","Petrylak DP, Gandhi JG, Clark WR, Heath E, Lin J, Oh WK, Agus DB, Carthon B, Moran S, Kong N, Suri A, Bargfrede M, Liu G.",Investigational new drugs. 2015 Jan 4; 33(2): 397-408,Petrylak (2015) Investigational New Drugs,Yes,JW,Yes,mCRPC,1,1,-50,22,17,77.27272727,No,,0,
"A PHASE II STUDY OF ESTRAMUSTINE, DOCETAXEL, AND BEVACIZUMAB IN MEN WITH CASTRATE RESISTANT PROSTATE CANCER: RESULTS OF CANCER AND LEUKEMIA GROUP B (CALGB) 90006.","Picus J, Halabi S, Kelly WK, Vogelzang NJ, Whang YE, Kaplan EB, Stadler WM, Small EJ, the Cancer and Leukemia Group B.",Cancer. 2010 Sep 22; 117(3): 526-533,Picus (2010) Cancer,Yes,JW,Yes,mCRPC,1,1,-50,77,57,74.02597403,Yes,"(64,84)",0,
Phase II Study of Abiraterone Acetate Plus Prednisone in Chemotherapy-Naïve Metastatic Castration-Resistant Prostate Cancer Demonstrating Radiographic Flare Discordant With Serologic Measures of Response.,"Ryan CJ, Shah S, Efstathiou E, Smith MR, Taplin ME, Bubley GJ, Logothetis CJ, Kheoh T, Kilian C, Haqq C, Molina A, Small EJ.",Clinical cancer research : an official journal of the American Association for Cancer Research. 2011 Jun 1; 17(14): 4854-4861,Ryan (2011) Clinical Cancer Research,Yes,JW,Yes,mCRPC,1,1,-50,34,24,70.58823529,No,,2,100
A Phase 2 Study of Abiraterone Acetate in Japanese Men with Metastatic Castration-resistant Prostate Cancer Who Had Received Docetaxel-based Chemotherapy.,"Satoh T, Uemura H, Tanabe K, Nishiyama T, Terai A, Yokomizo A, Nakatani T, Imanaka K, Ozono S, Akaza H.",Japanese Journal of Clinical Oncology. 2014 Oct 1; 44(12): 1206-1215,Satoh (2014) Japanese Journal of Clinical Oncology,Yes,JW,Yes,mCRPC,1,1,-50,46,13,28.26086957,No,,0,
Effect of bipolar androgen therapy for asymptomatic men with castration-resistant prostate cancer: Results from a pilot clinical study.,"Schweizer MT, Antonarakis ES, Wang H, Ajiboye AS, Spitz A, Cao H, Luo J, Haffner MC, Yegnasubramanian S, Carducci MA, Eisenberger MA, Isaacs JT, Denmeade SR.",Science translational medicine. 2015 Jan 7; 7(269): 269ra2,Schweizer (2015) Science Translational Medicine,Yes,JW,Yes,mCRPC,1,1,0,14,7,50,Yes,"(23,77)",0,
"Phase 2 Study of the Safety and Antitumor Activity of Apalutamide (ARN-509), a Potent Androgen Receptor Antagonist, in the High-risk Nonmetastatic Castration-resistant Prostate Cancer Cohort.","Smith MR, Antonarakis ES, Ryan CJ, Berry WR, Shore ND, Liu G, Alumkal JJ, Higano CS, Maneval EC, Bandekar R, de Boer CJ, Yu MK, Rathkopf DE.",European urology. 2016 May 6; 70(6): 963-970,Smith (2016) European Urology,Yes,JW,Yes,nmCRPC,1,1,-50,47,42,89.36170213,No,,0,
